number,move_id
0003,1111
0003,1213
0003,1334
0003,1099
0003,1351
0003,1492
0003,1231
0003,1051
0003,1044
0003,1266
0003,1026
0003,1333
0003,1152
0003,1153
0003,1450
0003,1451
0003,1425
0003,1265
0003,1373
0003,1363
0003,1243
0003,1128
0003,1124
0003,1244
0003,1379
0003,1493
0003,1362
0003,1228
0003,1065
0003,1112
0003,1123
0003,1129
0003,1313
0003,1345
0003,1140
0003,1341
0003,1221
0003,1480
0003,1329
0003,1301
0003,1416
0003,1417
0003,1418
0003,1023
0003,1302
0003,1305
0003,1181
0003,1183
0003,1187
0003,1230
0003,1342
0003,1327
0003,1381
0003,1344
0003,1136
0003,1358
0003,1027
0006,1111
0006,1213
0006,1471
0006,1334
0006,1118
0006,1099
0006,1351
0006,1492
0006,1051
0006,1044
0006,1266
0006,1333
0006,1152
0006,1368
0006,1153
0006,1450
0006,1451
0006,1425
0006,1265
0006,1228
0006,1408
0006,1479
0006,1432
0006,1431
0006,1328
0006,1389
0006,1404
0006,1080
0006,1235
0006,1499
0006,1338
0006,1085
0006,1430
0006,1077
0006,1329
0006,1097
0006,1227
0006,1260
0006,1020
0006,1423
0006,1064
0006,1063
0006,1364
0006,1049
0006,1103
0006,1139
0006,1216
0006,1181
0006,1024
0006,1187
0006,1336
0006,1109
0006,1101
0006,1084
0006,1107
0006,1342
0006,1195
0006,1136
0006,1317
0006,1316
0006,1506
0006,1318
0006,1209
0006,1489
0006,1315
0006,1490
0006,1093
0006,1415
0006,1094
0006,1309
0006,1399
0006,1006
0006,1353
0009,1111
0009,1213
0009,1471
0009,1334
0009,1099
0009,1142
0009,1332
0009,1182
0009,1351
0009,1492
0009,1231
0009,1051
0009,1044
0009,1100
0009,1019
0009,1266
0009,1333
0009,1152
0009,1153
0009,1450
0009,1451
0009,1425
0009,1052
0009,1014
0009,1015
0009,1233
0009,1236
0009,1122
0009,1012
0009,1176
0009,1347
0009,1348
0009,1237
0009,1312
0009,1458
0009,1385
0009,1053
0009,1042
0009,1016
0009,1028
0009,1049
0009,1103
0009,1057
0009,1181
0009,1024
0009,1187
0009,1445
0009,1009
0009,1497
0009,1483
0009,1402
0009,1498
0009,1146
0009,1132
0009,1109
0009,1429
0009,1101
0009,1107
0009,1361
0009,1188
0009,1462
0009,1342
0009,1136
0009,1489
0009,1093
0009,1094
0009,1309
0009,1018
0009,1006
0009,1007
0009,1193
0009,1485
0009,1268
